ID Planinfra,Ano de entrada,Registro do ID,Data da ação,Status,AUTORIZAÇÃO,Cidade,Estado,PRIORIDADE EMAER,COMAR,ODS,OM,DESCRIÇÃO,Solicitante,Documento de Solicitação,DOCUMENTO do Caderno de Necessidades,Data do Carderno de Necessidades,VALOR ESTIMATIVA (R$),RESPONSAVEL PROJETO,INÍCIO DO PROJETO/TAP,PRAZO DE PROJETO,PROJETO,VALOR PROJETO  (R$),DOCUMENTO ENTREGA do Projeto,Data de entrega do Projeto,DOCUMENTO CANCELAMENTO,DOCUMENTO SUSPENSÃO,RESPONSÁVEL LICITAÇÃO,Origem do Crédito,DATA DA LICITAÇÃO,Valor Obra (R$),Apostilamentos/Reajustes,1o Valor Aditivo (R$),2o Valor Aditivo (R$),3o Valor Aditivo (R$),4o Valor Aditivo (R$),5o Valor Aditivo (R$),Valor Vigente (R$),RESPONSÁVEL FISCALIZAÇÃO,INÍCIO DA OBRA,PRAZO ORIGINAL DA OBRA,1o ADITIVO DE PRAZO (DIAS),2o ADITIVO DE PRAZO (DIAS),3o ADITIVO DE PRAZO (DIAS),4o ADITIVO DE PRAZO (DIAS),5o ADITIVO DE PRAZO (DIAS),Valor Total Medido,PRAZO DA OBRA,EXECUÇÃO,OBS,PUBLICAR,Data que saiu do PlanINFRA,Setor Responsável,Telefone,RESPONSÁVEL ETPE,DOCUMENTO do ETPE,Data do ETPE,GERENTE DO PROJETO,TELEFONE DO GERENTE,DOCUMENTO de envio do TAP para o cliente,DATA de envio do TAP para o cliente,DOCUMENTO de recebimento do TAP assinado pelo cliente,VALOR ESTIMATIVA TAP (R$),LINK DO GPAER,DOCUMENTO de envio do TMP para o cliente,DATA de envio do TMP para o cliente,DOCUMENTO de recebimento do TMP assinado pelo cliente,DATA de recebimento do TMP assinado pelo cliente,ACRÉSCIMO VALOR TMP,ACRÉSCIMO PRAZO TMP,ESTIMATIVA PROJETO VIGENTE,PRAZO PROJETO VIGENTE,DOCUMENTO de assinatura do TEP pelo cliente,DATA de assinatura do TEP pelo cliente,REGISTRO SISOP,USUÁRIO ÚLTIMO AÇÃO,DOCUMENTO AUTORIZAÇÃO PARA LICITAR,DATA AUTORIZAÇÃO PARA LICITAR,DATA ENVIO DA DNR À UG EXEC,DATA ENVIO À CJU,DATA RETORNO DA CJU,DATA PUBLICAÇÃO EDITAL,DATA ENTREGA PROPOSTAS,VALOR ADJUDICADO,CÓDIGO PTA,INÍCIO PTA,TÉRMINO PTA,TIPO LICITACAO,NUMERO LICITACAO
2024-2118,2024,2118,17/01/2025 11:13:29,PRC,PlanINFRA,QUERARI,AM,,VII COMAR,COMPREP,QUERARI,Projeto de recuperação dos pavimentos do aeródromo de Querari - AM - Fase 1: Terraplanagem para ampliação da PPD.,DIRINFRA,Oficio nº 55/EPGA/13050,CN 02/EGPA/2023,12/22/2023,"R$ 82.913.520,67",CEPE,7/24/2024,11/29/2024,100,,Ofício nº 38/SDI/1573,12/23/2024,,,,,,,,,,,,,"R$ 37.043.065,85",,,,,,,,,,,,"Caderno de necessidades recebido por meio do Ofício 55/EPGA/13050, de 22/12/2023. 

06/03/2024 - ETPE 24DT008 elaborado e enviado pelo Of. CEPE 14/DT/263 à DIRINFRA. Apresentadas opções para escolha da DIRINFRA, cujas soluções estão orçadas entre R$ 37.117.987,26 a R$ 82.913.520,67.

27/03/2024 - Realizada consulta à DIRINFRA sobre opção de solução a ser adotada para fins de projeto, por meio do Ofício CEPE 31/DT/374, bem como solicitada dilação de prazo para remessa do TAP 60 dias após deliberação dessa Diretoria.

12/04/2024 - Amostras de solo coletadas em Querari/São Gabriel, aguardando transporte para Guarulhos para posterior análise laboratorial no ITA.

19/04/2024 - Atualizado o prazo do projeto, conforme PTA DIRINFRA / CEPE 2024.

11/06/2024 - TAP em elaboração, com previsão estimada para entrega em 28 JUN junto à DIRINFRA. Após o feito, inicia-se a elaboração do projeto propriamente dita.

24/07/2024 - TAP assinado: TI3WR34

06/08/2024 - Encaminhado via Of. 17/DT-QUA/961 à SDE DIRINFRA o RT em comento, acompanhado de relatório de marcos geodésicos, caderneta de pontos e pranchas contendo o levantamento topográfico planialtimétrico cadastral e perfis existentes da PPD e sua extensão.

",SIM,,,,Elo 7,"24DT008, enviado pelo Of. CEPE 14/DT/263 à DIRINFRA",06/03/2024,Cap Eng CIV Edmir,(11) 3382-5257, 	13/DT-QUA/916,17/07/2024,TI3WR34,"R$ 37.043.065,85",,,,,,,,"R$ 37.043.065,85",29/11/2024,Ofício nº 4/ECCP/170,15/01/2025,,camposgcc,,,,,,,,,,,,,
2024-2119,2024,2119,12/02/2025 18:03:29,AGD,PlanINFRA,SALVADOR,BA,,II COMAR,COMPREP,BASV,Reforma e adequação do Hangar de Lavagem,,,Ofício nº 5/SENG/414,1/29/2024,"R$ 7.200.001,25",SERINFRA-NT,,11/30/2024,,,,,,,,TED-OUTROS,,,,,,,,,"R$ 7.200.001,25",,,,,,,,,,,,"1) Prazo de projeto incluído conforme PTA. Oportunamente, com o TAP, deverá ser atualizado.
2) O prazo do projeto será alterado, pois o SERINFRA-NT enviou a DIRINFRA o Ofício nº 611/SERINFRA-NT/3961, informando que não iniciou o planejamento de missão para Salvador com a finalidade de proceder os levantamentos técnicos necessários para a elaboração do projeto de engenharia devido, até então, a sua elaboração ficar a cargo do SENAI/CIMATEC. O Termo de Cessão de Uso ficou de estabelecer o responsável pela elaboração do projeto de engenharia.
Aguardando assinatura do Termo de Cessão de Uso.
",SIM,,,,Elo 2,Ofício nº 6/SEN-NT/2640,01/03/2024,TEN JAIME,,,,,,,,,,,,,,30/11/2024,,,,rodrigorsb,,,,,,,,,,,,,
2024-2120,2024,2120,12/02/2025 17:04:03,PCN,Encerrado,SALVADOR,BA,,II COMAR,COMPREP,BASV,Construção do prédio da Sala de Autoridades,,,,,,SERINFRA-NT,,,,,,,Aprovação do PLANINFRA 25/26,,,PERMUTA,,,,,,,,,,,,,,,,,,,,,"18/07/2024 - O prazo do projeto será alterado, pois o Projeto em tela está sendo desenvolvido pelo Governo do Estado da Bahia no que tange as obras de contrapartida do Sistema Metroviário de Salvador. A intenção do Governo da Bahia é proceder a contratação por meio do regime de contratação integrada.
OBS: Informação trazida da Reunião realizada na BASV, no dia 27 de junho de 2024, com representantes da DIRINFRA, SERINFRA-NT, BASV e Secretaria da Casa Civil da Bahia. 
Projeto a cargo do Governo do Estado da Bahia.
- Status alterado para PCN, pois a demanda está sendo tratada no ID 2024-2121",SIM,,,,,,,,,,,,,,,,,,,,,,,,,souzassl,,,,,,,,,,,,,
2024-2121,2024,2121,12/02/2025 18:07:32,PRI,PlanINFRA,SALVADOR,BA,,II COMAR,COMPREP,BASV,Construção do prédio da Sala de Autoridades,,,Ofício N° 5/SENG/414,1/29/2024,,SERINFRA-NT,3/20/2024,6/30/2025,94,,,,,,,TED-OUTROS,,,,,,,,,,,,,,,,,,,,,"18/07/2024 - O prazo do projeto será alterado, pois o Projeto em tela está sendo desenvolvido pelo Governo do Estado da Bahia no que tange as obras de contrapartida do Sistema Metroviário de Salvador. A intenção do Governo da Bahia é proceder a contratação por meio do regime de contratação integrada.
OBS: Informação trazida da Reunião realizada na BASV, no dia 27 de junho de 2024, com representantes da DIRINFRA, SERINFRA-NT, BASV e Secretaria da Casa Civil da Bahia. 
Projeto a cargo do Governo do Estado da Bahia.
- Anteprojeto desenvolvido pela CONDER.
- Anteprojeto foi analisado pelo SERINFRA-NT através do RT.55.24.
",SIM,,,,Elo 2,Ofício N° 6/SEN-NT/2640,20/03/2024,CONDER,,Convênio CONDER,20/03/2024,Não aplicado,,,,,,,,,,30/06/2025,,,,souzassl,,,,,,,,,,,,,
2024-2122,2024,2122,12/02/2025 14:25:50,PCN,Encerrado,SALVADOR,BA,,II COMAR,COMPREP,BASV,Construção de prédio para abrigar o canil,,,Ofício nº 22/SENG/2274,4/19/2024,"R$ 1.005.000,00",SERINFRA-NT,,12/30/2024,,,,,Aprovação do PLANINFRA 25/26,,,PERMUTA,,,,,,,,,"R$ 1.005.000,00",,,,,,,,,,,,"1) Prazo de projeto incluído conforme PTA. Oportunamente, com o TAP, deverá ser atualizado.
2) Prazo do projeto será atualizado, pois o SERINFRA-NT enviou a DIRINFRA o Ofício nº 611/SERINFRA-NT/3961, informando que não iniciou o planejamento de missão para Salvador com a finalidade de proceder os levantamentos técnicos necessários para a elaboração do projeto de engenharia devido, até então, a sua elaboração ficar a cargo do SENAI/CIMATEC. O Termo de Cessão de Uso ficou de estabelecer o responsável pela elaboração do projeto de engenharia.
Aguardando assinatura do Termo de Cessão de Uso.
3) Status alterado para PCN pois a demanda está sendo tratada no ID 2025-2293",SIM,,,,Elo 2,Ofício nº 20/SEN-NT/282,15/05/2024,Ten João Luís,,,,,,,,,,,,,,30/12/2024,,,,rodrigorsb,,,,,,,,,,,,,
2024-2123,2024,2123,07/04/2025 13:06:25,AGD,PlanINFRA,SALVADOR,BA,,II COMAR,COMPREP,BASV,Construção do novo portão da guarda,BASV,,Ofício nº 5/SENG/414,1/29/2024,"R$ 3.500.000,00",SERINFRA-NT,,,94,,,,,,,PERMUTA,,,,,,,,,"R$ 3.500.000,00",,,,,,,,,,,,"18/07/2024 - O prazo do projeto será alterado, pois o projeto em tela está sendo desenvolvido pelo Governo do Estado da Bahia no que tange as obras de contrapartida do Sistema Metroviário de Salvador. A intenção do Governo da Bahia é proceder a contratação por meio do regime de contratação integrada.
OBS: Informação trazida da Reunião realizada na BASV, no dia 27 de junho de 2024, com representantes da DIRINFRA, SERINFRA-NT, BASV e Secretaria da Casa Civil da Bahia. 
Projeto a cargo do Governo do Estado da Bahia.
- Anteprojeto desenvolvido pela CONDER. Anteprojeto foi analisado pelo SERINFRA-NT através do RT.55.24.",SIM,,,,Elo 2,6/SENT-NT/2640,20/03/2024,MJ Romero,(84) 3644-7101,,,,,,,,,,,,,,,,,ece.dirinfra,,,,,,,,,,,,,
2024-2124,2024,2124,25/06/2024 15:10:59,PCN,Encerrado,PIRASSUNUNGA,SP,,IV COMAR,COMGEP,AFA,"Construção de Usina Fotovoltaica (4.000 módulos fotovoltaícos 2,2 MWp) ",,,Sob consulta do SERINFRA-SJ.,3/31/2023,"R$ 15.500.000,00",CEPE,,,0,,,,Ofício nº 62/ECCP/5836,"Of. DIRINFRA nº 42/EPPL/3967, de 22 de junho de 2024",,PERMUTA,,,,,,,,,"R$ 15.500.000,00",,,,,,,,,,,,"10/04/2024 - Reunião de nivelamento das informações com a equipe designada, para realização da Visita Técnica (programada para a semana de 22 a 25 ABR) e início do projeto.

12/05/24 - Realizada visita técnica no período de 22 a 25 ABR. Durante a VT, a equipe foi informada de projeto em andamento de 14 sistemas fotovoltaicos em telhados e zero-grid. O projeto em comento depende de deliberação de autoridade para sua continuidade. RT de análise prospectiva em elaboração.

21/05/24 - Elaborado o Relatório Técnico 24DT022, contendo ações sugeridas para continuidade do projeto: a) aguardar evolução dos projetos da ELEKTRO associados ao Programa de Eficiência Energética; b) redirecionar parte ou totalidade do material para outra UFV; c) desenvolver o projeto com potência reduzida (500kW).
RT enviado via Of. nº 148/DT/661, de 21/05/24, para deliberação da DIRINFRA.

25/06/24 - Considerando deliberação da DIRINFRA acerca do projeto em comento, por meio do Of. nº 42/EPPL/3967, de 22 de junho de 2024, o referido projeto encontra-se temporariamente suspenso até que os projetos de eficiência energética da concessionária ELEKTRO sejam concluídos, para nova avaliação da proposta de desenvolvimento de um projeto de usina fotovoltaica de pequeno porte.

08/10/2024 - Projeto cancelado conforme Ofício nº 62/ECCP/5836.",SIM,,,,Elo 5,SP24-20EP01-ELT-EV001,30/05/2023,Maj Eng ELT Campos,(11) 3382-5257,,,,"R$ 15.500.000,00",,,,,,,,"R$ 15.500.000,00",,,,,flavioaugustofabr,,,,,,,,,,,,,
2024-2125,2024,2125,26/03/2025 14:42:17,PRC,PlanINFRA,SÃO JOSÉ DOS CAMPOS,SP,,IV COMAR,DCTA,DCTA,Construção de Usina Fotovoltaica (3 MWp),DIRINFRA,1464/DIRINFRA/12073,Ofício 157/SDSG/2349,3/6/2024,"R$ 29.475.433,58",SERINFRA-SJ,7/16/2024,12/16/2024,100,"R$ 24.002.036,93",Ofício nº 41/SEN SJ/951,1/23/2025,,,,PERMUTA,,,,,,,,,"R$ 24.002.036,93",,,,,,,,,,,,"TAP assinado pelo cliente, recebido em 16/07/2024. Projeto em fase de finalização. Consta pendente a contratação de ensaio de sondagem. Aguardando homologação da licitação da ARP de Ensaio Geotécnico do CEPE. 
04/11/2024 - Prazo alterado de 31/10/2024 para 16/12/2024. Descrição alterada de ""Construção de Usina Fotovoltaica (5 MWp)"" para ""Construção de Usina Fotovoltaica (3 MWp)"". Tudo conforme ofício n° 77/SSEP SJ/809.
Projeto finalizado em 16/12. Encaminhado Ofício nº 41/SEN SJ/951 para a DIRINFRA, informando a conclusão do projeto e a pendência da realização do ensaio de sondagem. Solicitação de adiamento do prazo de entrega do projeto para 31/01, para validar o projeto de fundação com o ensaio de sondagem que será realizado no início de janeiro. 
TEP encaminhado para o DCTA por meio do Ofício nº 5/SSEP SJ/50, de 23/02/2025, porém restituído para ser redirecionado ao GAP-SJ, o qual tem atuado como representante do cliente.",SIM,,,,Elo 5,SP10-20EP04-GER-EV001,28/06/2024,Ten Guedes,(12) 3947-3349,Ofício 6/SSEP SJ/481,10/07/2024,Ofício nº 394/DIE/6544,"R$ 33.188.821,53",http://www.gpaer.intraer/index.php?login_externo=1&id=e0e10e67-6500-7174-0585-4704b336945c,,,,,,,"R$ 33.188.821,53",16/12/2024,Ofício nº 140/DIE/14480,25/03/2025,,coimbradco,,,,,,,,,,,,,
2024-2126,2024,2126,17/12/2024 11:41:10,PRC,PlanINFRA,GUARATINGUETÁ,SP,,IV COMAR,COMGEP,EEAR,"Construção de Usina Fotovoltaica (2,2 MWp)",DIRINFRA,"Ofício nº 4/EPPL/704, 26/01/2024",Ofício 34/SDSG/12801,6/27/2024,"R$ 14.500.000,00",CEPE,9/5/2024,9/30/2024,100,"R$ 9.715.069,18",Of. nº 69/SDP/1186,9/30/2024,,,,PERMUTA,,,,,,,,,"R$ 9.715.069,18",,,,,,,,,,,,"25/01/2024 - Solicitado à DIRINFRA, por meio do Of. nº 7/DT/53, o envio de Caderno de Necessidades (CN) e Estudo Técnico Preliminar de Engenharia (ETPE) referente à presente demanda.

19/04/2024 - Atualizado o prazo do projeto conforme prazo do PTA DIRINFRA / PTA CEPE 2024.

30/09/2024 - Remessa do anteprojeto e TEP realizadas por meio dos subprocessos SILOMS #3939 (AP) e #3940 (TEP). Informe enviado à DIRINFRA por meio do Of. 69/SDP/1186.

16/12/2024 - TEP assinado restituído  por e-mail ",SIM,,,,Elo 5,,,Maj Eng ELT Campos,(11) 3382-5257,Of. nº 59/ECCP/5265,05/09/2024,Of. nº 59/ECCP/5265,"R$ 13.940.000,00",http://www.cepe.intraer/,,,,,,,"R$ 13.940.000,00",30/09/2024,Ofício nº 85/ECCP/7081,13/12/2024,,felipelfmf,,,,,,,,,,,,,
2024-2127,2024,2127,17/12/2024 11:21:59,PRC,PlanINFRA,PARNAMIRIM,RN,,II COMAR,COMPREP,BANT,Construção de Usina Fotovoltaica (2 MWp),DIRINFRA,"Ofício nº 4/EPPL/704, de 26/01/2024","Ofício nº 42/EIE_SENG/9861, da BANT",5/29/2024,"R$ 7.000.000,00",CEPE,11/5/2024,12/31/2024,100,"R$ 7.466.960,83",Ofício nº 71/CEPE/1429,11/21/2024,,,,PERMUTA,,,,,,,,,"R$ 7.466.960,83",,,,,,,,,,,,"25/01/2024 - Solicitado à DIRINFRA, por meio do Of. nº 7/DT/53, o envio de Caderno de Necessidades (CN) e Estudo Técnico Preliminar de Engenharia (ETPE) referente à presente demanda.

19/04/2024 - Atualizado prazo do projeto, conforme PTA DIRINFRA / PTA CEPE 2024.

25/11/2024 - Entrega do projeto realizada por meio do Ofício nº 71/CEPE/1429, informando sobre a remessa dos entregáveis (SILOMS #4000) e do TEP (SILOMS #4033). Agd restituição do TEP assinado.",SIM,,,,Elo 7,Of. nº 132/DT/1303,30/10/2024,Maj Eng ELT Campos,(11) 2104-5466,Of. nº 32/DT/1303,30/10/2024,Of. nº 79/ECCP/6410,"R$ 7.000.000,00",http://www.cepe.intraer/,,,,,,,"R$ 7.000.000,00",31/12/2024,Ofício nº 84/ECCP/7060,13/12/2024,,felipelfmf,,,,,,,,,,,,,
2024-2128,2024,2128,04/04/2025 11:13:49,LIA,PlanINFRA,BARBACENA,MG,,III COMAR,SEFA,PABQ,Construção de 10 casas geminadas para graduados em Barbacena-MG (EPCAR). ,,,Não há,,"R$ 8.303.883,85",SERINFRA-BE,3/11/2024,7/31/2024,100,"R$ 8.364.330,87",Ofício nº 109/SEN/604,7/30/2024,,,EPCAR,PERMUTA,,,,,,,,,"R$ 8.364.330,87",,,,,,,,,,,,"1) Ofício nº 71/DTEN BE/7062 (272947) de 11/07/2023, encaminhado a PABQ C/C à DIRINFRA, informando as definições do anteprojeto que foram apresentadas à SEFA, e solicitando a possibilidade de dar continuidade ao processo de contratação de empresa para realização dos ensaios geotécnicos.

2) Essa demanda surgiu como evolução do ID 2023-2022, uma vez que, devido à sua localização há restrição de gabarito, as normas permitem uma altura máximo de 8m, conforme ofício n° 20/EGE/8445, de 16/08/2023. 

3) Ofício nº 112/DTEN BE/9964 (279789) de 28/09/2023, encaminhou a EPCAR orientações para execução do estudo geotécnico para o anteprojeto de PNR e solicitou a possibilidade de informar o andamento do processo para contratação do supracitado serviço e um prazo estimado para conclusão.

4) Ofício nº 6/DTEN BE/435 (287799) de 15/01/2024, da DIRINFRA à EPCAR, solicita a possibilidade de informar o andamento do processo de contratação do serviço de sondagens tipo SPT.

5) Ofício nº 1/SPLAN/2422 (290661) de 20/02/2024, da EPCAR à DIRINFRA. Informa que formalizou um processo de dispensa de licitação, para contratação do ensaio SPT, que será aberto em 20 de fevereiro de 2024 (compras.gov.br).

6) Ofício nº 7/STEC-I/7639 (6SUVWUP), de 13/05/2024, da EPCAR ao SERINFRA-BE.  Encaminha o estudo geotécnico do anteprojeto.

7) Ofício nº 109/SEN/604 (8CC6QBQ), do SERINFRA-BE à DIRINFRA. Encaminhou o TEP (Doc. SILOMS nº 743) à DIRINFRA para assinatura e disponibilizou as peças técnicas do anteprojeto (Doc. SILOMS nº 744)",SIM,,,,Elo 8, ETPE nº MG14-18EP01-GER-EV001,28/12/2024,1T Millene,(91) 3204-9254,Ofício nº 18/DTEN BE/1013 (289549),06/02/2024,3264 SILOMS,"R$ 8.303.883,82",http://www.gpaer.intraer/index.php?login_externo=1&id=2fd57a0e-d3aa-59f4-b529-fd06361767d1,,,,,,,"R$ 8.303.883,82",31/07/2024,Doc. SILOMS nº 744,12/08/2024,,ece.dirinfra,,,,,,04/04/2025,04/07/2025,,,,,Concorrência,90003/2024
2024-2129,2024,2129,22/04/2024 11:56:58,PRC,PlanINFRA,SÃO JOSÉ DOS CAMPOS,SP,,IV COMAR,DCTA,ITA,Construção de uma sala de estudo tipo A para o novo alojamento dos alunos do ITA,DIRINFRA,Ofício nº 4/EPPL/704,,,"R$ 750.000,00",SERINFRA-SJ,1/5/2024,4/5/2024,100,"R$ 978.850,79",27/SSEP SJ/3267,4/8/2024,,,,CESSÃO ONEROSA,,,,,,,,,"R$ 978.850,79",,,,,,,,,,,,,SIM,,,,Elo 5,,,Ten Priscila,(12) 3947-3349,Dispensado pelo Cmdt,05/01/2024,Dispensado pelo Cmdt,,https://www.gpaer.intraer/#app/1_1/2,,,,,,,,05/04/2024,Dispensado pelo Cmdt,08/04/2024,,coimbradco,,,,,,,,,,,,,
2024-2130,2024,2130,22/04/2024 11:53:39,PRC,PlanINFRA,SÃO JOSÉ DOS CAMPOS,SP,,IV COMAR,DCTA,ITA,Construção de duas salas de estudo tipo B para o novo alojamento dos alunos do ITA,DIRINFRA,Ofício nº 4/EPPL/704,,,"R$ 360.000,00",SERINFRA-SJ,1/5/2024,4/5/2024,100,"R$ 1.406.770,66",27/SSEP SJ/3267,4/8/2024,,,,CESSÃO ONEROSA,,,,,,,,,"R$ 1.406.770,66",,,,,,,,,,,,,SIM,,,,Elo 5,,,Ten Priscila,(12)3947-3349,Dispensado pelo Cmdt,05/01/2024,Dispensado pelo Cmdt,"R$ 360.000,00",https://www.gpaer.intraer/#app/1_1/2,,,,,,,"R$ 360.000,00",05/04/2024,Dispensado pelo Cmdt,08/04/2024,,coimbradco,,,,,,,,,,,,,
2024-2131,2024,2131,03/04/2025 14:26:50,PRC,PlanINFRA,PARNAMIRIM,RN,,II COMAR,DCTA,CLBI,Restauração e Reforma instalações elétricas do Abrigo de Disjuntor Geral de Média Tensão do CLBI,CLBI,Ofício 3/SDIE/178,42/DIP/5348,3/30/2023,"R$ 393.412,40",SERINFRA-NT,5/30/2024,5/30/2024,100,,Não houve,8/6/2024,,,,AEB - FUNDAÇÕES,,,,,,,,,"R$ 582.404,93",,,,,,,,,,,,"04/06/2024 - Projeto com orçamento em andamento aguardando a entrega das cotações para finalização do caderno orçamentário (CP Bruno).
18/07/2024 - O prazo do projeto será alterado, pois parte da especificação técnica e do orçamento só foi possível incrementar depois de informações técnicas prestadas pela concessionária de energia elétrica (COSERN). A concessionária de energia forneceu essas informações na semana compreendida entre 8 a 12 de JULHO. O projeto será concluído até o dia 31 JULHO 2024.

OBS: Vale salientar que segundo informações da Direção do CLBI o recurso financeiro para a execução desse projeto de engenharia virá de um Termo de Execução Descentralizada (TED) entre o CLBI e a Agência Espacial Brasileira (AEB), por meio da Ação 7F40 dessa Agência.

08/08/2024: Conforme 1° despacho (N° 16/SERINFRA-NT/597, de 06 de Agosto de 2024): ""O CLBI disponibilizou um engenheiro eletricista do seu efetivo para compor a equipe multidisciplinar do SERINFRA-NT no sentido de elaborar os documentos técnicos de instalações de média tensão do projeto de engenharia e atender aos prazos processuais em virtude de disponibilização de recursos por meio do instrumento de execução descentralizada junto a Agência Espacial Brasileira.
Sendo assim, as documentações técnicas sob gestão do SERINFRA-NT foram encaminhadas ao CLBI para serem agregadas com as documentações de competência do engenheiro eletricista para compor a instrução do processo licitatório, motivo pelo qual será atualizado o encerramento do projeto de engenharia no GPAer.""

OBS: O encerramento do projeto foi realizado pelo CLBI.

[03/04/2025] O orçamento foi atualizado em 24/03/2025 (R$ 582.404,93)",SIM,,,,Elo 2,30/DTEN NT/5852,12/06/2023,MJ Romero,(84) 3644-7101,Ofício nº 25/SEN-NT/311,30/05/2024,não houve,"R$ 582.404,93",https://www.gpaer.intraer/#app,,,,,,,"R$ 582.404,93",30/05/2024,Não houve,06/08/2024,,souzassl,,,,,,,,,,,,,
2024-2132,2024,2132,24/04/2025 08:38:31,PRI,PlanINFRA,SÃO JOSÉ DOS CAMPOS,SP,,IV COMAR,DCTA,IEAV,Construção do prédio do laboratório de testes do IEAv,,,CN elaborado pelo IEAV - s/nº,3/15/2023,"R$ 4.370.001,17",CEPE,1/29/2025,6/30/2025,95,"R$ 6.432.579,61",Ofício nº 13/DT-QUA/488,4/23/2025,,,,AEB - FUNDAÇÕES,,,,,,,,,"R$ 6.432.579,61",,,,,,,,,,,,"26/02/2024 - CN e ETPE recebidos. Visita técnica programada para ser realizada dia 06/03/2024, pela equipe do CEPE, para levantamento de informações e elaboração do TAP. 

07/03/2024 - Nome do projeto atualizado a pedido do cliente, considerando sigilo das informações de pesquisa em andamento naquele Instituto.

11/03/2024 - Solicitado via Of. 18/DT-AQT/288 ao SERINFRA-SJ apoio para levantamento topográfico da área. Respondido Of. 8/SPI SJ/2692, de 21 MAR, com a previsão de conclusão do trabalho até 30 ABR.

15/03/2024 - Encaminhado Ofício CEPE nº 20/DT-AQT/328, solicitando informações complementares sobre o escopo do projeto, não identificadas no Caderno de Necessidades e na Visita Técnica realizada.

12/04/2024 - Verificada a existência prévia de sondagem geotécnica nas dependências do IEAv, dispensando para fins de elaboração de projeto básico a necessidade de contratação do serviço.

17/04/2024 - Programada Visita Técnica conjunta para o dia 21/05/2024, da equipe de projetistas do CEPE e do laboratório do IEAv, às instalações de laboratório do INPE em Cachoeira Paulista. Após a visita, será programada nova visita, em 7/06/2024 ao IEAv, para validação de Relatório Técnico junto ao cliente.

19/04/2024 - Atualizado prazo do projeto, conforme PTA DIRINFRA 2024.

11/06/2024 - Realizada em 6 JUN reunião dos projetistas com o Departamento de Prevenção e Segurança Contraincêndio do Corpo de Bombeiros CBMESP, com vistas ao saneamento das dúvidas sobre medidas de contenção e eventuais restrições à implantação. ""Layout"" preliminar e TAP em elaboração para apresentação ao cliente e abertura do projeto.

02/09/2024 - Conforme Ofício nº -145/DT/958, de 29 de julho de 2024, demanda do ID 2024-2132 contempla a demanda do ID 2024-2180, por isso o ID 2024-2180 será cancelado.",SIM,,,,Elo 5,SP17-09EP01-GER-EV001,31/05/2023,1º Ten AQT Costa,11 2104-5466,Ofício nº 3/DT-QUA/35,15/01/2025,Ofício nº 2/SECDIR/109,"R$ 6.221.836,39",,,,,,,,"R$ 6.221.836,39",30/06/2025,,,,camposgcc,,,,,,,,,,,,,
2024-2133,2024,2133,11/10/2024 10:49:39,PRC,PlanINFRA,RIO DE JANEIRO,RJ,,III COMAR,COMGAP,CCA-RJ,Ampliação da capacidade do Datacenter - Sala Cofre,CCA-RJ,,37/DT/4094,11/18/2022,"R$ 4.820.391,01",SERINFRA-RJ,4/29/2024,7/30/2024,100,"R$ 5.533.146,00",305/SSEP-RJ/1085,10/5/2024,,,,FAB 20SA,,,,,,,,,"R$ 5.533.146,00",,,,,,,,,,,,"Será solicitada à DIRINFRA a realocação do prazo final do projeto para 09/08/2024, tendo em vista às dificuldades na obtenção de propostas de preços em virtude da especificidade dos equipamentos e materiais.
Devido a persistência do mesmo obstáculo, nova estimativa de finalização: 02/09/2024.

Projeto concluído, TEP enviado. Aguardando retorno do cliente.
Retorno do cliente dia 10/10.

17/10/24 - Conforme Of. 30/SDGA/3041 a autorização para licitar depende da definição da fonte de custeio para essa obra.",SIM,,,,Elo 4,01/DTINFRA-RJ/DTEN/2023,24/04/2023,,,28/DTEN RJ/3306,09/04/2024,15/SDGA/1295,"R$ 4.820.391,01",http://www.gpaer.intraer/index.php?login_externo=1&id=c700bbf5-c1f0-d194-998f-b50cfb2cb1b0,,,,,,,"R$ 4.820.391,01",30/07/2024,30/SDGA/3041,10/10/2024,,nascimentovbnc,,,,,,,,,,,,,
2024-2134,2024,2134,22/04/2025 09:50:09,LIA,PlanINFRA,BELÉM,PA,,I COMAR,COMGEP,HABE,Substituir os Grupos Geradores – HABE,HABE,,Ofício nº 16/APAD/4840,4/27/2023,"R$ 759.898,39",SERINFRA-BE,6/19/2024,8/31/2024,100,"R$ 942.284,04",Ofício nº 146/SEN/693,8/27/2024,,,,FAB 2004,,,,,,,,,"R$ 942.284,04",,,,,,,,,,,,"16/04/2025 - Status alterado de PRC para LIA, uma vez que foi publicado o Edital da Concorrência Eletrônica PREGÃO Nº 90142/2024 (https://www.in.gov.br/web/dou/-/resultado-de-julgamento-624524776). Firma Vencedora: 16.979.315/0001-62 - M B DA CRUZ SERVICOS DE REFRIGERACAO LTDA.",SIM,,,,Elo 8,Ofício nº 54/DTEN BE/5375 (269790),22/05/2023,CP Pedro,(91) 3204-9652,Ofício nº 65/SSEP/441 ,14/06/2024,Ofício nº 75/SPOG/7212,"R$ 759.898,39",http://www.gpaer.intraer/index.php?login_externo=1&id=ca9bdece-4e60-2054-b508-d930cc705257,,,,,,,"R$ 759.898,39",31/08/2024,Ofício nº 26/APAD/10382,30/08/2024,,ece.dirinfra,,,,,,,,,,,,,
